name,team,age,league,position,apps,minutesPlayed,tacklePerGame,interceptionPerGame,foulsPerGame,offsideWonPerGame,clearancePerGame,wasDribbledPerGame,outFielderBlockPerGame,goalOwn,rating
Kike García,Osasuna,33,La Liga,FW,3,419,0.1,0.1,0.8,0,0.4,0.1,0,0,6.35
Pedro Bigas,Elche,32,La Liga,DF,12,972,1.3,1.5,0.5,0.8,3.3,0.4,0.5,0,6.35
Adama Soumaoro,Bologna,30,Serie A,DF,9,786,1.2,0.8,1.1,0.2,3.2,0.1,0.5,0,6.35
Denis Huseinbasic,FC Koln,21,Bundesliga,MF,3,372,1.6,0.2,0.8,0,0.2,0.8,0.1,0,6.34
Mattia Caldara,Spezia,28,Serie A,DF,6,598,1.2,1.2,0.9,0.8,3.8,0.6,0.6,0,6.34
Fabio Miretti,Juventus,19,Serie A,MF,6,621,0.9,0.2,0.9,0,0.3,0.6,0,0,6.34
Antonín Barak,Fiorentina,28,Serie A,MF,8,705,0.8,0.2,0.4,0.1,0.6,0.3,0.1,0,6.34
Tolgay Arslan,Udinese,32,Serie A,MF,6,507,0.9,0.5,0.6,0,0.5,0.4,0,0,6.34
Riad Nouri,AC Ajaccio,37,Ligue 1,MF,6,726,0.6,0.3,0.5,0,0.4,0.2,0,0,6.34
Samú Costa,Almeria,22,La Liga,MF,8,766,1.9,1.2,2,0,1.4,1.5,0.4,0,6.34
Anthony Elanga,Man Utd,20,Premier League,MF,5,371,0.2,0.1,0.1,0,0.3,0.1,0,0,6.34
Yasser Larouci,Troyes,21,Ligue 1,DF,9,750,0.7,0.7,0.3,0.1,0.9,0.2,0.1,1,6.34
Pierrick Capelle,Angers,35,Ligue 1,DF,6,577,1.6,0.5,1.3,0,0.9,0.7,0,0,6.34
Dennis Appiah,Nantes,30,Ligue 1,DF,9,796,1.4,0.7,1.1,0.1,1.1,1.1,0.3,0,6.34
Giulio Maggiore,Salernitana,24,Serie A,MF,9,659,1.4,0.8,1.1,0,0.4,0.7,0.4,0,6.34
Jacob Murphy,Newcastle,27,Premier League,DF,5,487,0.5,0.1,0.5,0,0.1,0.3,0,0,6.34
Habib Diarra,Strasbourg,18,Ligue 1,MF,4,437,0.9,0.4,0.9,0,0.6,0.4,0.1,0,6.34
Pablo Rosario,Nice,25,Ligue 1,DF,7,673,1.2,1.2,1,0.4,1.5,0.2,0.3,0,6.33
Hugo Mallo,Celta Vigo,31,La Liga,DF,11,878,1.7,0.5,2,0,1.9,0.5,0.1,0,6.33
Jeong Woo-Yeong,Freiburg,23,Bundesliga,MF,3,463,0.4,0.1,0.7,0.1,0.4,0.1,0,0,6.33
Nedim Bajrami,Empoli,23,Serie A,MF,7,807,0.4,0.4,0.3,0,0.2,0.1,0,0,6.33
Soualiho Meïté,Cremonese,28,Serie A,MF,9,694,1.7,0.7,1,0,0.8,0.9,0.2,0,6.33
Lorenzo Colombo,Lecce,20,Serie A,FW,5,468,0.6,0.1,1.2,0,0.1,0.2,0,0,6.33
