name,team,age,position,apps,minutesPlayed,shotsTotal,shotOboxTotal,shotSixYardBox,shotPenaltyArea,rating
Krzysztof Piatek,"Salernitana,",27,", FW",11,679,1.9,0.2,0.1,1.6,6.53
Jordan Ferri,"Montpellier,",30,", M(C)",13,1088,0.3,0.2,0,0.1,6.53
Joan Gonzàlez,"Lecce,",20,", M(C)",15,1118,0.6,0.1,0,0.5,6.53
Kamory Doumbia,"Reims,",19,", AM(C)",14,716,1.1,0.5,0,0.6,6.53
Kiko Femenía,"Villarreal,",31,", D(LR),M(R)",11,850,0,0,0,0,6.53
Ivo Grbic,"Atletico Madrid,",26,", GK",4,207,0,0,0,0,6.53
Jonas Wind,"Wolfsburg,",23,", AM(C),FW",6,169,1,0.3,0,0.7,6.52
Felix Uduokhai,"Augsburg,",25,", D(C)",7,433,0,0,0,0,6.52
Séamus Coleman,"Everton,",34,", D(CR),M(R)",8,608,0.4,0.1,0,0.3,6.52
Luis Sinisterra,"Leeds,",23,", AM(LR),FW",9,456,1.1,0.7,0.1,0.3,6.52
Sergio Canales,"Real Betis,",31,", M(CLR)",11,860,0.6,0.5,0,0.2,6.52
Luca Caldirola,"Monza,",31,", D(CL)",11,895,0.3,0.1,0.1,0.1,6.52
Emiliano Buendía,"Aston Villa,",25,", M(CLR)",15,727,1.1,0.3,0.1,0.8,6.52
Jordan Henderson,"Liverpool,",32,", D(C),M(CLR)",12,647,0.8,0.6,0,0.2,6.52
Philipp Förster,"Bochum,",27,", M(CLR),FW",12,655,0.8,0.4,0,0.4,6.52
Tomás Rincón,"Sampdoria,",34,", M(CR)",14,1092,0.6,0.5,0,0.1,6.52
Andrea Colpani,"Monza,",23,", Midfielder",10,336,1,0.4,0,0.6,6.52
Renato Sanches,"Paris Saint-Germain,",25,", M(CR)",10,316,0.6,0.2,0,0.4,6.52
Antonino Gallo,"Lecce,",22,", D(L)",12,914,0.2,0.2,0,0,6.52
Stevan Jovetic,"Hertha Berlin,",33,", AM(CL),FW",8,397,1.5,0.6,0.3,0.6,6.52
Adrien Hunou,"Angers,",28,", AM(CLR),FW",14,1096,1.5,0.2,0.3,1,6.52
Eduardo Camavinga,"Real Madrid,",20,", DMC",14,506,0.6,0.5,0,0.1,6.52
Marco Bizot,"Brest,",31,", GK",14,1260,0,0,0,0,6.52
Jens Cajuste,"Reims,",23,", DMC",10,525,0.6,0.2,0,0.4,6.52
Richarlison,"Tottenham,",25,", AM(CLR),FW",10,438,1.3,0.1,0.1,1.1,6.52
Morgan Gibbs-White,"Wolverhampton,",22,", AM(CR),FW",2,180,1.5,0.5,0.5,0.5,6.52
Christoph Kramer,"Borussia M.Gladbach,",31,", M(C)",14,1187,0.3,0.1,0,0.1,6.52
Carles Aleñá,"Getafe,",24,", AM(CLR)",13,1030,1,0.7,0,0.3,6.52
Leonardo Bittencourt,"Werder Bremen,",28,", M(CLR),FW",10,578,0.7,0.3,0,0.4,6.52
Abdessamad Ezzalzouli,"Osasuna,",20,", AM(L)",8,313,1.3,0.5,0,0.8,6.52
Anthony Losilla,"Bochum,",36,", D(C),DMC",15,1330,0.7,0.2,0,0.5,6.52
Marco Sportiello,"Atalanta,",30,", GK",6,532,0,0,0,0,6.52
Mickaël Barreto,"AC Ajaccio,",31,", Midfielder",4,143,0.5,0.3,0,0.3,6.52
Jefferson Lerma,"Bournemouth,",28,", D(R),DMC",15,1350,0.9,0.3,0.1,0.6,6.52
Ignatius Ganago,"Nantes,",23,", AM(LR),FW",10,508,0.9,0.2,0.1,0.6,6.52
Joël Veltman,"Brighton,",30,", D(CR),M(R)",13,950,0.3,0,0,0.3,6.52
Ryan Christie,"Bournemouth,",27,", AM(CLR),FW",13,722,1.1,0.2,0.1,0.8,6.52
Edmond Tapsoba,"Bayer Leverkusen,",23,", D(C)",15,1314,0.3,0.1,0,0.3,6.52
Cédric Brunner,"Schalke 04,",28,", D(CR)",12,1020,0.3,0.2,0,0.1,6.52
Edon Zhegrova,"Lille,",23,", AM(R)",6,234,1.5,0.7,0,0.8,6.52
Assan Ceesay,"Lecce,",28,", FW",15,892,1.3,0.3,0.1,0.9,6.52
Manu Sánchez,"Osasuna,",22,", D(L)",10,466,0.4,0.2,0,0.2,6.52
Timo Baumgartl,"Union Berlin,",26,", D(C)",4,316,1,0,0,1,6.52
Samuel Gigot,"Marseille,",29,", D(C)",10,721,0.5,0,0.2,0.3,6.51
Marcus Ingvartsen,"Mainz 05,",26,", AM(CR),FW",9,460,1.8,0.3,0,1.4,6.51
Ben Chilwell,"Chelsea,",25,", D(L),M(L)",9,418,0.3,0.1,0.1,0.1,6.51
Ryan Sessegnon,"Tottenham,",22,", D(L),M(LR)",12,663,1.3,0.4,0.3,0.7,6.51
Luiz Felipe,"Real Betis,",25,", D(C)",7,416,0.1,0,0,0.1,6.51
Elbasan Rashani,"Clermont Foot,",29,", AM(LR)",13,769,0.9,0.2,0.2,0.5,6.51
Joe Scally,"Borussia M.Gladbach,",19,", D(R),M(R)",15,1305,0.3,0.1,0,0.2,6.51
Valentin Gendrey,"Lecce,",22,", D(R)",15,1182,0.1,0.1,0,0,6.51
Yangel Herrera,"Girona,",24,", M(C)",11,634,1.3,0.4,0.1,0.8,6.51
Charles De Ketelaere,"AC Milan,",21,", M(CLR),FW",13,576,0.7,0.1,0,0.6,6.51
Francesco Acerbi,"Inter,",34,", D(C)",9,658,0.3,0.2,0,0.1,6.51
Cody Drameh,"Leeds,",20,", D(R)",1,70,0,0,0,0,6.51
Rogerio,"Sassuolo,",24,", D(L),M(L)",14,1154,0.2,0.2,0,0,6.51
Ivan Ordets,"Bochum,",30,", D(C)",14,1037,0.3,0,0,0.3,6.51
Giacomo Raspadori,"Napoli,",22,", AM(CL),FW",10,517,2.1,0.6,0.1,1.4,6.51
Dylan Bronn,"Salernitana,",27,", D(C)",15,978,0.4,0.1,0.1,0.3,6.51
